Descrição;Descrição Reduzida;Código;Código Reduzido;Controle de Lote;Controle de Data de Expiração;Solicita Data de Fabricação;Vida Útil;Janela de Expiração;Peso;Item de Conversão;Chapatex;Palete;Tipo;Classificação;Nome da classe do produto;Nome do Armazém;Nome do Catálogo;Ativo;Código de barras;Curva;Largura;Altura;Comprimento;Porcentagem Mínima de Vida Útil;Porcentagem de pré-bloqueio
"Não Utilizar - GATORADE LARANJA PET 500ML SIXPACK ";Não Utilizar - GATORADE LARANJA PET 500ML SIXPACK;NAOUSAR;NAOUSAR;False;False;False;;;3,4000000953674316;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;;
AG TON 290ML INTEGRAL;AG TON 290ML INTEGRAL;90000113;90000113;False;True;False;;;;False;False;False;Retornável;AG;Ativo de Giro;;Brasil;True;;;;;;;
AG BARRIL 30L;AG BARRIL 30L;90000201;90000201;False;True;False;;;;False;False;False;Retornável;AG;Ativo de Giro;;Brasil;True;;;;;;;
AG BARRIL 50L;AG BARRIL 50L;90000202;90000202;False;True;False;;;;True;False;False;Retornável;AG;Ativo de Giro;;Brasil;True;;;;;;;
Nao utilizar;Nao utilizar;00001;11425;False;True;False;;1;6,635000228881836;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;True;123456;A;;;;;
"Não Utilizar - GATORADE LARANJA PET 500ML SIXPACK ";Não Utilizar - GATORADE LARANJA PET 500ML SIXPACK;Não Utilizar - 7081;Não Utilizar - 7081;False;False;False;;10;3,4000000953674316;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;;
"GATORADE LARANJA PET 500ML SIXPACK ";GATORADE LARANJA PET 500ML SIXPACK;0000001;0000001;False;False;False;;;;False;False;False;Descartável;AG;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
"(Não utilizar)DO BEM UVA TETRAPAK 1L CX12 ";(Não utilizar)DO BEM UVA TETRAPAK 1L CX12;00000000015966;15966;False;True;False;;;;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
SKOL LATE 350ML C/18;SKOL LATE 350ML C/18;99778866;99778866;False;True;False;;;6;False;False;False;Descartável;Produto Acabado;RGB - Piloto;;Brasil;False;;;;;;;
GOOSE 4STAR ONE WAY 355ML CX C/4 SIX PACK GT;GOOSE 4STAR ONE WAY 355ML CX C/4 SIX PACK GT;17869;17869;False;False;False;270;;13,760000228881836;False;False;False;Descartável;Produto Acabado;One Way - SP;;Brasil;True;;;;;;;
BALBOA ICE LATA 355ML SH C/12;BALBOA ICE LATA 355ML SH C/12;17923;17923;False;False;False;270;;14;False;False;False;Retornável;Produto Acabado;Latas;;Brasil;False;;;;;;;
WALS SANTA LUZIA ONE WAY 600ML CX C/12 ARTE;WALS SANTA LUZIA ONE WAY 600ML CX C/12 ARTE;17954;17954;False;False;False;270;;13;False;False;False;Descartável;Produto Acabado;One Way - SP;;Brasil;True;;;;;;;
SKOL LT 269ML SH C/15 EXPORTACAO ESP;SKOL LT 269ML SH C/15 EXPORTACAO ESP;17068;17068;False;True;False;;;4,199999809265137;False;False;False;Descartável;Produto Acabado;Latas - Piloto;;Brasil;True;7891149103119;;;;;30;
teste migração 3;"teste migração ";00000000008;00000000008;False;False;False;;;;False;False;False;Retornável;Produto Acabado;1000;;Brasil;True;;;0;;;;
PATAGONIA BOHEIMIAN PILSENER ONE WAY 600ML CX 12;PATAGONIA BOHEIMIAN PILSENER ONE WAY 600ML CX 12;17293;17293;False;True;False;;;13;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;True;;;;;;;
SKOL PURO MALTE 300ML;SKOL PURO MALTE 300ML;18674;18674;False;True;False;;;13,600000381469727;False;False;False;Retornável;Produto Acabado;RGB - Piloto;;Brasil;True;;;;;;;
DB SMOOTHIE BAN MOR E LIN TETRAPAK 1L CX12;DB SMOOTHIE BAN MOR E LIN TETRAPAK 1L CX12;17500;17500;False;True;False;;;13;False;False;False;Descartável;Produto Acabado;TETRAPACK - Piloto;;Brasil;True;;;;;;;
TESTE2;TESTE sherlockkkae;40611;406110;False;True;False;;8;;True;False;False;Descartável;Item não classificado;1000;;Brasil;True;;C;;;;;
Item Descricao Completa;Item Descricao Completa;123459995;123459995;False;True;False;;;12,300000190734863;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;30;
BRAHMA EXTRA DARK LAGER LN 355ML SP C/4;BRAHMA EXTRA DARK LAGER LN 355ML SP C/4;xxxxxxxxxxxxxxxxxxxxxx;xxxxxxxxxxxxxxxxxxxxxx;False;True;False;;1;14;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;;
MOTIM HIDEOUT ONE WAY 600ML CX C-12 ARTE;MOTIM HIDEOUT ONE WAY 600ML CX C-12 ARTE;20063;20063;False;True;False;;;11,399999618530273;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;True;;;;;;;
KIT PALLET (PBR2 - 14);KIT PALLET (PBR2 - 14);900000121;900000121;False;True;False;;;;False;False;False;Retornável;AG;TST - Ativo de Giro;;Brasil;False;;;;;;30;
KIT PALLET (PBR1 - 14);KIT PALLET (PBR1 - 14);90000127;90000127;False;False;False;;;;False;False;False;Retornável;AG;"'- SEM INFORMAÇÕES -";CDD-Guarulhos;;True;;;;;;;
KIT CHAPATEX (250);KIT CHAPATEX (250);90000128;90000128;False;False;False;;;;False;False;False;Retornável;AG;"'- SEM INFORMAÇÕES -";CDD-Guarulhos;;True;;;;;;;
DO BEM TANGERINA TETRAPAK 1L CX12;DO BEM TANGERINA TETRAPAK 1L CX12;16939;16939;False;True;False;;;;False;False;False;Descartável;Produto Acabado;TETRAPACK - Piloto;;Brasil;True;;;;;;30;
BARRIL 16 - 50L + 8 - 30L;BARRIL 16 - 50L + 8 - 30L;90000203;90000203;False;True;False;;;;False;False;False;Retornável;AG;TST - Ativo de Giro;;Brasil;False;;;;;;30;
KIT DO VICTOR;KIT DO VICTOR;900001109;900001109;False;True;False;;;;False;False;False;Retornável;AG;TST - Ativo de Giro;;Brasil;False;;;;;;30;
DO BEM TANGERINA 100 TETRAPAK 200ML CX18;DO BEM TANGERINA 100 TETRAPAK 200ML CX18;16957;16957;False;True;False;;;15,079999923706055;False;False;False;Descartável;Produto Acabado;TETRAPACK - Piloto;;Brasil;True;;;;;;;
COLORADO BRASIL AMBER LAGER COM BARU ONE WAY 600ML;COLORADO BRASIL AMBER LAGER COM BARU ONE WAY 600ML;19587;19587;False;False;False;180;;11,399999618530273;False;False;False;Descartável;Produto Acabado;One Way - SP;;Brasil;True;;;;;;;
STELLA ARTOIS LATA 410ML C/12;STELLA ARTOIS LATA 410ML C/12;20851;20851;False;True;False;;;5,349999904632568;False;False;False;Descartável;Produto Acabado;Latas - Piloto;;Brasil;True;;C;;;;;
WALS SESSION FREE LN 355ML CX C12 NP;WLSEF LN355C12N;19420;19420;False;True;False;180;1;9,359999656677246;False;False;False;Descartável;Produto Acabado;Long Neck - Piloto;;Brasil;True;;;;;;;
BOHEMIA KIT PRESENTE 550ML CXC/3;BHKP 550CX3;8343;8343;False;True;False;;;1;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;False;;;;;;30;
