Código Unb;Armazém;Código Região;Id Catálogo;Nome Catálogo;Código;Descrição;Ativo;Item Geral;Geral para regiões;Retornável;Descartavel;Camadas;Quantidade Palete;Quantidade Palete Dúzia;Fator;Código embalagem;Código tipo embalagem;Embalagem;Grupo;Subgrupo;Embalagem/Tipo produto;Altura do palete;Quantidade de Lastros/Camadas;Largura do item;Altura do item;Comprimento do item;Peso bruto do item;Base palete;Topo Palete;Barril;Água/Isotônico;Tipo Caixa;Quantidade de unidades por caixa;Fator14;Quantidade14;Fator21;Quantidade21;Fator28;Quantidade28;Fator35;Quantidade35;Fator42;Quantidade42;Código subtipo;Descrição subtipo;Ocupação extra;Pré-picking Marketplace
;;;2.0;Brasil;0;Pepsi 3 Litros;True;True;False;False;True;7;168;168;12.0;28.0;2.0;PET 500;3.0;2.0;28 - PET 500 (Tipo: 2 - REFRIGERANTE);1.63;24;19.36;23.21;25.81;6.48;False;False;False;False;;;0.5833;48.0;0.4375;96.0;0.4746;118.0;0.4861;144.0;0.5;168.0;;;False;False
926;CDD-Camboriu;;2.0;Brasil;0;Pepsi 3 Litros;True;False;False;False;True;7;168;168;12.0;28.0;2.0;PET 500;3.0;2.0;28 - PET 500 (Tipo: 2 - REFRIGERANTE);1.63;24;19.36;23.21;25.81;6.48;False;False;False;False;;;0.58;48.0;0.44;96.0;0.47;118.0;0.49;144.0;0.5;168.0;;;False;False
;;;2.0;Brasil;1;Nao utilizar;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;3;MIST. SUBST. ODORIF. LIMAO BRAHMA BOMBONA 5L;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;1.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;CONCENTRADO REFRIGERANTE;False;False
;;;2.0;Brasil;8;teste migra??o;True;False;False;True;False;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;10;PREP. LIQ. LARANJA BOMBONA 5L KIT C/2;True;True;False;False;True;0;0;525;0.0;;;;;;;0.0;0;0.0;0.0;0.0;1.0;False;False;False;False;;;0.16;175.0;0.1603;262.0;0.16;350.0;0.1602;437.0;0.16;525.0;;;False;False
;;;2.0;Brasil;12;ADPT-BRAHMA CHOPP LATA 250ML BANDEJA C/24 IPTC;True;True;False;False;True;0;0;0;0.0;3.0;1.0;LATA 250;2.0;1.0;3 - LATA 250 (Tipo: 1 - CERVEJA);0.0;0;0.0;0.0;0.0;9.12;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;CERVEJA COM ALCOOL;False;False
;;1000;12.0;SAZ - Bolivia;20;DUCAL 620CC RET X12;True;False;True;True;False;6;66;66;12.0;1200.0;1200.0;GRB 620 - 710n;10.0;1200.0;1200 - GRB 620 - 710n (Tipo: 1200 - GRB 620 - 710n);1.0;11;37.0;29.7;28.7;14.9;False;False;False;False;;;1.2727;22.0;1.2727;33.0;1.2727;44.0;1.2727;55.0;1.2727;66.0;;;False;False
;;;2.0;Brasil;22;TEEM 284ML                                        ;True;True;False;True;False;6;60;60;12.0;17.0;2.0;GARRAFA MEIA;1.0;4.0;17 - GARRAFA MEIA (Tipo: 2 - REFRIGERANTE);1.61;10;26.1;26.7;39.1;7.8;False;False;False;False;;;1.4;20.0;1.4;30.0;1.4;40.0;1.4;50.0;1.4;60.0;;;False;False
;;;;;25;GAS CARBONICO BRAHMA POST-MIX CILINDRO 6 KG;True;True;False;True;False;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;;;26;GAS CARBONICO BRAHMA CILINDRO 9 KG;True;True;False;True;False;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;1001;11.0;SAZ - Paraguay;27;PILSEN_TRADICIONAL_KEG_x01_30L;True;False;True;True;False;3;24;24;1.0;2003.0;2003.0;KEG 30000 ml;2003.0;2003.0;2003 - KEG 30000 ml (Tipo: 2003 - KEG 30000 ml);1.0;8;1.0;1.0;1.0;1.0;True;False;True;False;;;28.0;1.0;42.0;1.0;7.0;8.0;4.375;16.0;3.5;24.0;;;False;False
PY1H;CD Asuncion;;11.0;SAZ - Paraguay;27;PILSEN_TRADICIONAL_KEG_x01_30L;True;False;True;True;False;2;16;16;1.0;2003.0;2003.0;KEG 30000 ml;2003.0;2003.0;2003 - KEG 30000 ml (Tipo: 2003 - KEG 30000 ml);1.0;8;1.0;1.0;1.0;1.0;False;False;True;False;;;3.5;8.0;5.25;8.0;7.0;8.0;1.5556;45.0;5.25;16.0;;;False;False
3;CD Encarnacion;;11.0;SAZ - Paraguay;27;PILSEN_TRADICIONAL_KEG_x01_30L;True;False;True;True;False;2;16;16;1.0;2003.0;2003.0;KEG 30000 ml;2003.0;2003.0;2003 - KEG 30000 ml (Tipo: 2003 - KEG 30000 ml);1.0;8;1.0;1.0;1.0;1.0;False;False;True;False;;;3.5;8.0;5.25;8.0;7.0;8.0;1.5556;45.0;5.25;16.0;;;False;False
5;CD Oviedo;;11.0;SAZ - Paraguay;27;PILSEN_TRADICIONAL_KEG_x01_30L;True;False;True;True;False;2;16;16;1.0;2003.0;2003.0;KEG 30000 ml;2003.0;2003.0;2003 - KEG 30000 ml (Tipo: 2003 - KEG 30000 ml);1.0;8;1.0;1.0;1.0;1.0;False;False;True;False;;;3.5;8.0;5.25;8.0;7.0;8.0;1.5556;45.0;5.25;16.0;;;False;False
4;CD Ciudad del Este;;11.0;SAZ - Paraguay;27;PILSEN_TRADICIONAL_KEG_x01_30L;True;False;True;True;False;2;16;16;1.0;2003.0;2003.0;KEG 30000 ml;2003.0;2003.0;2003 - KEG 30000 ml (Tipo: 2003 - KEG 30000 ml);1.0;8;1.0;1.0;1.0;1.0;False;False;True;False;;;3.5;8.0;5.25;8.0;7.0;8.0;1.5556;45.0;5.25;16.0;;;False;False
;;;;;29;GAS CARBONICO BRAHMA CILINDRO 18 KG;True;True;False;True;False;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;44;PEPSI COLA MIX POST-MIX 18L;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;27.26;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
